Date,Value
2017-10-31,156.7
2017-09-30,153.3
2017-08-31,153.4
2017-07-31,153.7
2017-06-30,154.7
2017-05-31,154.9
2017-04-30,156.3
2017-03-31,156.3
2017-02-28,155.8
2017-01-31,156.1
2016-12-31,156.7
2016-11-30,155.7
2016-10-31,155.9
2016-09-30,151.2
2016-08-31,151.3
2016-07-31,152.0
2016-06-30,153.2
2016-05-31,153.2
2016-04-30,153.1
2016-03-31,153.2
2016-02-29,153.6
2016-01-31,153.3
2015-12-31,153.8
2015-11-30,153.9
2015-10-31,154.0
2015-09-30,150.8
2015-08-31,150.9
2015-07-31,151.9
2015-06-30,151.5
2015-05-31,151.8
2015-04-30,152.0
2015-03-31,152.5
2015-02-28,152.7
2015-01-31,151.2
2014-12-31,149.6
2014-11-30,151.0
2014-10-31,151.3
2014-09-30,146.3
2014-08-31,147.0
2014-07-31,147.2
2014-06-30,147.3
2014-05-31,148.0
2014-04-30,148.7
2014-03-31,149.0
2014-02-28,150.1
2014-01-31,150.2
2013-12-31,149.8
2013-11-30,149.0
2013-10-31,148.3
2013-09-30,143.6
2013-08-31,143.9
2013-07-31,144.1
2013-06-30,144.8
2013-05-31,145.1
2013-04-30,145.7
2013-03-31,145.9
2013-02-28,146.7
2013-01-31,146.8
2012-12-31,147.0
2012-11-30,147.5
2012-10-31,147.2
2012-09-30,143.1
2012-08-31,144.2
2012-07-31,144.3
2012-06-30,143.4
2012-05-31,143.1
2012-04-30,143.9
2012-03-31,143.7
2012-02-29,143.9
2012-01-31,144.4
2011-12-31,143.7
2011-11-30,144.0
2011-10-31,144.0
2011-09-30,139.0
2011-08-31,139.8
2011-07-31,139.9
2011-06-30,140.1
2011-05-31,139.9
2011-04-30,140.6
2011-03-31,139.9
2011-02-28,140.2
2011-01-31,140.2
2010-12-31,139.7
2010-11-30,140.3
2010-10-31,140.9
2010-09-30,137.6
2010-08-31,137.9
2010-07-31,137.7
2010-06-30,138.4
2010-05-31,139.9
2010-04-30,139.8
2010-03-31,140.4
2010-02-28,141.6
2010-01-31,141.9
2009-12-31,140.7
2009-11-30,142.1
2009-10-31,140.9
2009-09-30,136.5
2009-08-31,138.8
2009-07-31,137.3
2009-06-30,140.3
2009-05-31,138.7
2009-04-30,139.1
2009-03-31,138.4
2009-02-28,139.2
2009-01-31,139.3
2008-12-31,139.8
2008-11-30,139.7
2008-10-31,141.1
2008-09-30,131.0
2008-08-31,131.2
2008-07-31,130.5
2008-06-30,132.0
2008-05-31,134.5
2008-04-30,135.3
2008-03-31,134.4
2008-02-29,135.7
2008-01-31,135.9
2007-12-31,135.0
2007-11-30,136.8
2007-10-31,136.2
2007-09-30,129.3
2007-08-31,130.8
2007-07-31,131.7
2007-06-30,132.3
2007-05-31,132.6
2007-04-30,133.0
2007-03-31,134.0
2007-02-28,134.7
2007-01-31,135.0
2006-12-31,135.9
2006-11-30,137.1
2006-10-31,131.9
2006-09-30,129.0
2006-08-31,128.2
2006-07-31,126.3
2006-06-30,132.8
2006-05-31,134.0
2006-04-30,134.3
2006-03-31,135.2
2006-02-28,135.4
2006-01-31,135.4
2005-12-31,134.7
2005-11-30,136.4
2005-10-31,139.2
2005-09-30,133.5
2005-08-31,133.4
2005-07-31,134.3
2005-06-30,134.0
2005-05-31,136.9
2005-04-30,137.6
2005-03-31,137.7
2005-02-28,138.3
2005-01-31,140.5
2004-12-31,140.0
2004-11-30,140.4
2004-10-31,142.4
2004-09-30,132.6
2004-08-31,133.3
2004-07-31,133.6
2004-06-30,136.8
2004-05-31,136.8
2004-04-30,136.5
2004-03-31,137.6
2004-02-29,137.3
2004-01-31,137.8
2003-12-31,137.9
2003-11-30,139.4
2003-10-31,141.1
2003-09-30,130.7
2003-08-31,132.3
2003-07-31,131.9
2003-06-30,132.3
2003-05-31,133.9
2003-04-30,134.3
2003-03-31,139.0
2003-02-28,136.2
2003-01-31,136.1
2002-12-31,135.5
2002-11-30,137.0
2002-10-31,139.6
2002-09-30,130.8
2002-08-31,130.6
2002-07-31,131.7
2002-06-30,134.9
2002-05-31,135.5
2002-04-30,136.6
2002-03-31,137.0
2002-02-28,138.4
2002-01-31,137.4
2001-12-31,139.0
2001-11-30,138.5
2001-10-31,139.0
2001-09-30,136.4
2001-08-31,136.6
2001-07-31,137.2
2001-06-30,136.5
2001-05-31,137.6
2001-04-30,139.6
2001-03-31,138.8
2001-02-28,138.4
2001-01-31,141.0
2000-12-31,141.8
2000-11-30,142.1
2000-10-31,141.9
2000-09-30,136.0
2000-08-31,136.4
2000-07-31,137.4
2000-06-30,138.0
2000-05-31,139.6
2000-04-30,139.6
2000-03-31,139.6
2000-02-29,140.1
2000-01-31,140.6
1999-12-31,141.4
1999-11-30,141.7
1999-10-31,143.0
1999-09-30,134.1
1999-08-31,135.1
1999-07-31,135.4
1999-06-30,136.7
1999-05-31,137.9
1999-04-30,138.8
1999-03-31,138.4
1999-02-28,139.5
1999-01-31,139.0
1998-12-31,140.1
1998-11-30,141.3
1998-10-31,141.5
1998-09-30,133.5
1998-08-31,134.7
1998-07-31,135.6
1998-06-30,135.1
1998-05-31,136.3
1998-04-30,138.0
1998-03-31,138.6
1998-02-28,138.9
1998-01-31,138.7
1997-12-31,138.8
1997-11-30,140.4
1997-10-31,141.7
1997-09-30,134.6
1997-08-31,136.9
1997-07-31,136.9
1997-06-30,139.1
1997-05-31,139.3
1997-04-30,141.3
1997-03-31,142.1
1997-02-28,142.4
1997-01-31,142.7
1996-12-31,142.6
1996-11-30,143.0
1996-10-31,143.3
1996-09-30,136.5
1996-08-31,140.2
1996-07-31,140.5
1996-06-30,141.8
1996-05-31,141.6
1996-04-30,141.6
1996-03-31,142.2
1996-02-29,142.2
1996-01-31,142.3
1995-12-31,143.6
1995-11-30,143.8
1995-10-31,143.0
1995-09-30,134.1
1995-08-31,138.4
1995-07-31,138.9
1995-06-30,138.9
1995-05-31,139.8
1995-04-30,140.2
1995-03-31,140.4
1995-02-28,140.9
1995-01-31,141.2
1994-12-31,140.9
1994-11-30,140.4
1994-10-31,141.0
1994-09-30,135.1
1994-08-31,139.4
1994-07-31,139.3
1994-06-30,139.2
1994-05-31,139.3
1994-04-30,138.5
1994-03-31,138.5
1994-02-28,138.6
1994-01-31,138.5
