Месяц,анализ данных: 
2004-01,39
2004-02,51
2004-03,79
2004-04,0
2004-05,21
2004-06,42
2004-07,22
2004-08,0
2004-09,19
2004-10,19
2004-11,57
2004-12,0
2005-01,0
2005-02,33
2005-03,35
2005-04,23
2005-05,34
2005-06,41
2005-07,0
2005-08,27
2005-09,25
2005-10,29
2005-11,11
2005-12,17
2006-01,20
2006-02,15
2006-03,0
2006-04,33
2006-05,34
2006-06,36
2006-07,22
2006-08,13
2006-09,28
2006-10,44
2006-11,32
2006-12,30
2007-01,54
2007-02,27
2007-03,9
2007-04,37
2007-05,56
2007-06,41
2007-07,5
2007-08,20
2007-09,60
2007-10,31
2007-11,50
2007-12,33
2008-01,37
2008-02,27
2008-03,45
2008-04,41
2008-05,59
2008-06,37
2008-07,19
2008-08,21
2008-09,27
2008-10,45
2008-11,49
2008-12,59
2009-01,46
2009-02,48
2009-03,49
2009-04,55
2009-05,62
2009-06,57
2009-07,17
2009-08,15
2009-09,41
2009-10,41
2009-11,54
2009-12,75
2010-01,53
2010-02,45
2010-03,63
2010-04,73
2010-05,81
2010-06,69
2010-07,26
2010-08,23
2010-09,51
2010-10,48
2010-11,63
2010-12,66
2011-01,58
2011-02,62
2011-03,58
2011-04,51
2011-05,76
2011-06,66
2011-07,16
2011-08,16
2011-09,40
2011-10,61
2011-11,59
2011-12,80
2012-01,54
2012-02,50
2012-03,72
2012-04,65
2012-05,75
2012-06,48
2012-07,27
2012-08,21
2012-09,56
2012-10,57
2012-11,60
2012-12,72
2013-01,59
2013-02,54
2013-03,67
2013-04,79
2013-05,79
2013-06,64
2013-07,22
2013-08,22
2013-09,45
2013-10,69
2013-11,62
2013-12,72
2014-01,54
2014-02,45
2014-03,63
2014-04,58
2014-05,79
2014-06,66
2014-07,24
2014-08,20
2014-09,67
2014-10,65
2014-11,78
2014-12,85
2015-01,51
2015-02,50
2015-03,64
2015-04,74
2015-05,74
2015-06,67
2015-07,37
2015-08,33
2015-09,60
2015-10,65
2015-11,86
2015-12,92
2016-01,66
2016-02,76
2016-03,90
2016-04,99
2016-05,97
2016-06,100
2016-07,40
2016-08,37
2016-09,57
2016-10,80
2016-11,80
2016-12,98
2017-01,73
2017-02,68
2017-03,77
2017-04,81
2017-05,80
2017-06,64
2017-07,37
2017-08,39
2017-09,68
2017-10,70
2017-11,81
2017-12,75
